unique_id,mode,gender,hold racket handed,play years,level,swing9_median_az,swing13_median_az,swing14_median_az,swing18_rms_ax,swing11_median_az,swing21_median_az,swing6_median_az,swing13_rms_ax,swing21_std_az,swing26_median_az,swing22_rms_ax,swing18_std_az,swing23_median_az,swing19_rms_ax,swing9_mean_gz,swing25_std_az,swing17_rms_ax,swing21_mean_ax,swing24_rms_ax,swing16_rms_ax,swing24_median_gx,swing24_median_az,swing11_rms_ax,swing14_rms_ax,swing27_median_az,swing17_median_az,swing21_rms_ax,swing25_min_gy,swing8_mean_ax,swing8_median_az,swing10_rms_ax,swing20_mean_ax,swing13_mean_ax,swing5_median_az,swing18_mean_az,swing7_rms_ax,swing19_median_az,swing22_median_az,swing8_max_ay,swing13_rms_az,swing26_mean_ax,swing20_median_gx,swing10_std_az,swing25_rms_az,swing12_rms_ax,swing9_mean_az,swing23_mean_gy,swing7_median_az,swing22_median_gy,swing9_rms_ax,swing27_max_ay,swing15_median_az,swing19_mean_ax,swing7_mean_az,swing20_median_az,swing12_std_az,swing10_median_az,swing27_mean_ay,swing21_median_gz,swing13_mean_az,swing16_median_az,swing22_mean_gy,swing5_mean_ax,swing5_mean_az,swing23_rms_az,swing9_mean_ax,swing22_median_gz,swing17_std_az,swing19_std_az,swing6_rms_ax,swing18_median_az,swing16_mean_az,swing15_std_az,swing13_std_az,swing17_median_gz,swing22_std_az,swing22_max_ay,swing27_mean_ax,mode,swing26_mean_gy,swing26_rms_ax,swing9_std_az,swing7_mean_gz,swing21_rms_az,swing7_max_ax,swing17_mean_ay,swing27_median_ay,swing25_max_ay,swing12_min_gy,swing22_mean_ax,swing8_rms_ax,swing22_min_ay,swing19_min_gy,swing23_std_az,swing10_mean_ax,swing25_mean_gy,swing5_mean_gz,swing17_median_gx,swing20_mean_gy,swing12_median_az
1,1,1,1,1,5,35.0,-2.0,-425.5,4235.144552,-90.0,308.5,-166.0,4315.041652,3624.725499,14.0,4188.385191,3478.141288,180.0,4170.461196,-659.2622951,3360.615333,3645.88611,3749.870968,4257.340902,4116.104975,-11493.0,69.0,4219.973368,4238.396808,196.0,-924.0,4277.364017,-19526,3664.459016,-424.0,4261.564975,3705.114754,3780.983607,-429.0,247.9672131,4440.389497,834.0,182.0,1324,3557.489368,3675.081967,-12472.0,3404.7431,3369.880732,3802.629976,511.9016393,4404.57377,-39.5,1349.0,4249.089509,498,-52.0,3707.409836,534.8870968,-41.0,3082.49367,-314.0,-760.1311475,459.5,383.7213115,-217.0,4507.213115,3850.0,375.9672131,3348.488631,3799.852459,641.0,3250.00102,4027.736607,4413.840508,-387.0,364.0491803,3453.400484,3536.734166,20802.0,3502.188368,1387,2729.52459,1,3519.622951,4118.030076,3167.368892,632.2903226,3656.096532,7450,-2371.786885,268.0,1063,-20121,3696.213115,4181.465199,-5282,-26429,3342.542777,3753.47541,5772.42623,-961.2295082,-20071.0,3903.0,-1258.0
2,2,1,1,1,5,-147.0,810.0,793.0,5544.162899,-31.0,-206.0,696.0,5357.064935,3881.380121,58.0,4937.882967,3622.164973,-208.0,5981.036687,-2632.16,3614.226296,5258.113986,4845.653333,5193.104621,5047.725254,-19562.0,-104.0,4207.129504,5594.627868,266.0,536.0,5686.772064,-20432,4844.88,402.0,4836.299111,5114.533333,4378.666667,739.0,922.6133333,5959.829955,619.0,343.0,843,3688.731211,3764.853333,-16753.0,3486.332493,3739.772248,5458.106322,232.5733333,8048.106667,1096.0,10919.0,4822.192501,713,456.0,4836.066667,1635.6,960.0,3567.644621,-22.0,233.9864865,-8029.0,976.56,-266.0,11019.4,4591.84,803.8533333,3641.019972,3852.013333,-2997.0,3672.018234,4167.69997,5726.664924,907.0,443.6933333,4254.960897,3557.115195,9801.0,3908.954949,395,1824.135135,2,13317.76,4844.414073,3932.853638,-1459.666667,3920.555886,11115,-3428.853333,337.0,713,-21181,3781.853333,5860.562373,-10000,-21157,3584.385426,3748.506667,6799.053333,4315.933333,-24997.0,10591.14667,743.0
3,3,1,1,1,5,597.0,312.0,-54.0,4449.015818,331.5,626.5,629.0,4707.049384,2677.634083,388.5,4648.906846,2701.732599,526.0,3664.826276,-173.9134615,2718.974072,3714.819296,3527.605769,3714.996031,4620.331445,-9661.5,129.0,4674.155656,4729.361555,827.0,845.0,4494.175214,-20455,3725.644231,532.5,5574.591755,3547.269231,3497.807692,585.0,-196.2596154,4858.18188,914.5,478.5,1271,2709.312722,3769.326923,-18009.0,3089.774204,2734.167126,5831.94672,-199.6057692,6569.403846,762.5,5987.0,4869.778755,1416,327.5,3113.653846,491.1442308,585.5,3985.255431,577.5,-300.5436893,-1997.0,-226.3076923,600.0,7960.471154,3734.557692,2.413461538,2735.764982,3871.932692,590.0,2378.528339,2323.226149,4919.227806,595.5,-208.5192308,2848.681876,2699.844487,2574.5,2661.372463,1800,2129.825243,3,8730.951923,5050.214773,2850.127401,2231.673077,2679.794223,13195,-2331.692308,-227.0,639,-29078,3596.480769,4778.316457,-10537,-22068,2705.115109,4134.317308,7753.663462,98.30769231,-26133.5,8180.586538,-108.0
4,4,1,1,1,5,-24.0,143.0,357.5,5074.6269,12.0,-26.0,193.5,4818.222223,3356.981754,-211.0,5471.79797,3002.721083,-172.0,5012.320201,1884.653465,2711.052295,4772.927388,4010.554455,4900.055025,4882.357542,-9679.5,-180.0,6031.203569,4741.531851,-5.0,59.0,5361.721657,-16051,3834.627451,28.5,5480.53509,3126.568627,3705.782178,-95.0,-368.7254902,6133.278791,-7.0,43.5,934,3079.771486,3869.578431,-25685.0,3143.097606,2820.023734,5234.198728,-597.3861386,12967.61386,-143.0,12128.0,5400.870426,886,-586.0,3710.831683,-188.5742574,93.5,2649.11853,-13.0,-2049.861386,2872.0,-502.4455446,-222.0,10769.19608,3934.188119,-563.3663366,3496.794978,3917.356436,2775.5,2844.725298,2992.23229,5439.548504,-118.5,69.69607843,3831.661667,3038.509648,6090.0,3123.050613,442,3394.752475,4,8834.0,5095.702516,3191.000337,-1364.772277,3373.874479,14066,-3060.287129,-1729.0,1176,-29149,4212.686275,5081.355298,-13023,-21159,3409.840393,3973.166667,11190.27723,1130.861386,-14044.0,7016.019608,-116.0
5,5,1,1,1,5,315.0,248.5,-77.0,3366.393238,148.0,263.0,200.5,4973.348431,3699.724999,-687.0,5212.409175,2295.752543,244.5,4524.618399,712.7169811,2711.982406,4927.094914,4427.695238,4721.981404,4797.703521,-15100.5,433.5,4495.207874,4756.371656,-266.0,109.5,5764.931242,-23622,3513.45283,289.5,6585.481911,3728.433962,3881.971698,318.0,-692.5566038,5211.560999,407.5,301.0,1243,3328.614082,3915.669811,-17706.5,3999.253816,2711.983391,5060.929651,-242.1792453,12906.16038,256.0,13669.5,5375.623781,386,277.0,3469.811321,-263.5428571,337.0,2975.782191,14.0,-763.4,-558.0,-766.7075472,261.0,11824.26415,3822.04717,-313.8867925,3315.342388,4016.849057,708.0,2969.051526,2906.596504,5146.018004,-26.5,-76.64150943,2285.72676,3239.109638,2428.0,3403.437194,734,2790.6,5,9347.04717,5223.842883,3084.719322,32.2,3734.742062,15083,-3175.235849,-539.0,252,-26324,4020.028302,4640.349607,-12894,-27697,3240.23786,4903.301887,8087.698113,-262.1509434,-18974.5,6484.858491,312.0
6,6,1,1,1,5,350.0,248.0,229.0,4882.232502,372.0,476.0,601.5,4999.892995,2812.786085,112.5,4806.255523,2954.459847,263.0,6291.863221,-1360.466667,2892.533537,4803.47628,3686.288462,4986.49636,5236.547105,-12284.0,240.0,4657.136724,3784.19461,66.0,395.0,4705.934365,-19795,3724.153846,695.5,4659.903909,4328.701923,3937.096154,448.0,-204.7142857,5059.647363,393.5,384.0,827,2979.670976,3641.567308,-13317.5,2670.410275,2892.976016,4760.804161,-154.1238095,8166.790476,368.5,5449.0,4659.357827,951,402.5,5038.211538,-168.9423077,331.5,2876.838973,491.0,-3370.528846,2125.0,-99.70192308,401.0,6679.576923,3888.666667,-296.552381,3212.821235,3666.504762,1001.0,3086.565075,3391.776012,5046.582655,262.0,140.6730769,3079.024894,2978.00246,3873.5,2996.687297,551,3661.423077,6,7613.423077,4910.257328,2764.6483,-1020.557692,2817.708538,13093,-2913.913462,-1836.0,545,-32191,3634.75,4845.147952,-15376,-19235,3202.508181,3680.25,8874.961538,-1271.885714,-18746.0,6410.807692,-92.0
7,7,1,1,1,5,-59.0,-396.0,103.0,6397.403036,-50.0,156.0,-106.5,6224.922124,3077.929785,156.0,5400.875376,4162.626706,-157.0,5574.723498,140.4553571,3405.627652,4945.113615,3464.732143,6728.13639,5520.997766,-22768.0,182.0,4938.696187,5977.526249,354.0,170.0,5078.992988,-22946,3531.0,-297.0,4427.543624,3697.612613,4592.585586,229.0,518.3125,4440.731216,-243.0,4.0,3127,3763.773362,2000.891892,-13608.0,2572.144915,3508.274805,5200.844726,-246.7232143,4267.261261,-160.0,3179.0,5271.819989,129,-1167.0,3896.945946,-1539.594595,-496.0,2833.807634,-105.0,-1743.18018,290.0,-145.7927928,116.0,6498.693694,3574.927928,-100.4954955,2704.85864,3794.571429,2864.0,3119.346351,3660.280639,6153.764895,-400.5,-80.94594595,3630.505057,3760.948601,2474.0,3284.244863,2849,1639.315315,7,4934.981982,3584.42723,3079.526399,-3410.675676,3079.004358,12397,-3418.954955,-1735.0,3435,-28417,3616.09009,4915.055469,-19299,-18015,2704.833167,2908.576577,10086.0,181.8018018,-25141.0,9378.243243,40.5
8,8,1,1,1,5,73.0,-30.0,-52.0,5490.864866,-123.5,-830.0,-186.0,5478.23651,4046.419088,-120.0,5551.376514,3668.733654,70.0,5803.516326,1116.780952,3017.533543,5353.167114,4218.877358,5501.352844,4927.75946,-17981.5,-182.5,5689.727747,5397.178413,-74.0,-90.5,6105.024979,-32768,3856.590476,-354.0,5294.828829,4220.990476,3784.628571,21.0,-260.5714286,7024.521599,-818.0,-258.0,3010,3170.724679,3859.438095,-21029.0,2899.469157,3040.710357,5508.007722,-156.5714286,8010.809524,-119.5,12740.0,5798.544454,2759,-63.0,4109.72381,277.3113208,76.0,3384.593194,-247.0,-3316.352381,1246.0,-217.4095238,-300.0,10807.91429,3983.171429,-398.3904762,3420.825517,3981.180952,3581.0,3772.508117,3589.765237,5402.025758,-285.0,-383.047619,3331.768906,3163.262254,2029.0,3292.944312,2936,3865.019048,8,6769.885714,5762.956983,3356.330317,-359.2358491,4125.657098,15596,-2537.283019,-1082.0,3008,-29420,3706.057143,5606.086155,-17088,-32768,3418.524552,3591.390476,6656.457143,1100.72381,-19368.0,6733.619048,-166.0
9,9,1,1,1,5,-44.0,-71.0,207.0,3676.132072,-398.5,-89.0,-466.0,3735.059566,1398.7624,353.0,3582.481805,1882.853834,-71.0,3940.175696,-729.7714286,1498.566869,3733.652889,3261.342857,4234.57006,3260.019934,-2240.0,-8.0,3296.099968,4074.290215,-289.0,-103.0,3859.091071,-2899,2554.104762,-389.0,5156.326548,2955.333333,3261.6,-519.0,-406.3904762,3818.185026,-44.0,361.0,2073,1450.791905,3090.219048,-2710.0,1952.193339,1501.961476,3954.944947,-407.5238095,1410.857143,-1.0,720.0,3863.007971,1582,-83.0,3199.2,-631.5142857,114.0,1982.404457,288.0,-2254.528846,-51.0,-358.4095238,71.0,1470.192308,3120.704762,-743.8952381,1610.578305,3137.971429,-394.5,1475.757279,1168.578915,3729.075473,242.0,-589.3428571,1607.137623,1405.823519,218.5,1898.333217,2116,3294.125,9,1448.895238,3844.242821,1927.440949,-426.9142857,1423.076008,8873,-2279.163462,-1891.5,1251,-2608,2911.461538,3224.308034,-4896,-3344,1591.759794,4248.304762,679.5714286,-1243.638095,-1394.0,1553.171429,234.0
10,9,1,1,1,5,-243.5,-521.5,-171.0,4093.542185,-62.0,-246.0,25.0,4741.444361,1469.878475,22.0,3317.668394,2270.012047,-91.0,3827.868621,-576.15,1578.356806,3912.431451,3264.78,3880.174728,3986.146865,-1352.0,436.0,4084.821957,4046.494627,-281.0,-119.0,3816.035034,-3286,3187.01,54.5,3794.592737,3006.71,3637.11,-153.0,-321.16,3364.067484,-215.0,-18.5,1101,2625.83955,2804.91,42.0,1696.515552,1688.392848,4213.245014,-631.99,1661.616162,-180.0,399.5,4052.948497,981,-161.0,3335.090909,-892.01,351.0,1557.918501,52.0,-2401.717172,190.0,-445.96,61.0,1322.93,2460.171717,-587.7373737,1572.870181,3089.52,935.5,1656.076034,1688.277976,4245.995142,-61.5,-388.99,1804.596128,2587.692605,286.5,1613.324735,1679,3563.454545,9,1446.73,3215.444157,2196.330651,-211.43,1540.253875,8591,-2459.15,-1670.0,624,-2514,2562.13,3984.256502,-4644,-2311,1480.276643,3150.747475,1483.44,-393.4141414,-2508.0,1520.18,105.5
