unique_id,mode,gender,hold racket handed,play years,level,segment0_Az_median,segment1_Az_median,segment2_Az_median,segment3_Az_median,segment4_Az_median,segment5_Az_median,segment6_Az_median,segment7_Az_median,segment8_Az_median,segment9_Az_median,segment10_Az_median,segment11_Az_median,segment12_Az_median,segment13_Az_median,segment14_Az_median,segment15_Az_median,segment16_Az_median,segment17_Az_median,segment18_Az_median,segment19_Az_median,segment20_Az_median,segment21_Az_median,segment22_Az_median,segment23_Az_median,segment24_Az_median,segment25_Az_median,segment26_Az_median
1,1,1,1,1,5,-22.0,-832.0,-470.0,-1795.0,-429.0,-166.0,-39.5,-424.0,35.0,-314.0,-90.0,-1258.0,-2.0,-425.5,-52.0,-217.0,-981.0,-387.0,834.0,-41.0,308.5,182.0,180.0,69.0,92.0,14.0,214.5
2,2,1,1,1,5,295.0,183.0,-313.0,-633.0,715.0,696.0,1096.0,434.0,-147.0,-22.0,-52.0,743.0,810.0,793.0,642.0,-266.0,497.0,869.0,619.0,960.0,-88.0,343.0,-208.0,-140.0,397.0,58.0,268.0
3,3,1,1,1,5,557.0,33.0,279.5,422.0,585.0,629.0,762.5,532.5,597.0,587.5,317.5,-84.5,312.0,-54.0,323.5,584.5,833.5,595.5,914.5,585.5,626.5,578.0,526.0,78.0,350.5,388.5,812.5
4,4,1,1,1,5,292.0,-579.0,-214.0,343.0,-95.0,193.5,-143.0,28.5,-24.0,-13.0,63.0,-116.0,143.0,357.5,-586.0,-246.5,59.0,-132.5,-7.0,107.0,-26.0,43.5,-123.0,-180.0,54.0,-211.0,-15.5
5,5,1,1,1,5,386.0,-530.0,371.0,222.5,337.0,172.0,256.0,289.5,315.0,30.5,129.0,323.0,248.5,-77.0,277.0,257.0,109.5,-26.5,407.5,337.0,263.0,317.5,244.5,431.5,539.0,-687.0,-258.5
6,6,1,1,1,5,461.0,-234.5,451.0,-80.0,448.0,601.5,368.5,695.5,350.0,491.0,372.0,-92.0,226.5,229.0,402.5,401.0,433.5,262.0,428.5,331.5,476.0,384.0,263.0,235.0,439.0,112.5,72.0
7,7,1,1,1,5,633.0,566.0,-140.5,-145.0,212.0,-106.5,-95.0,-299.0,-86.0,-105.0,-26.0,40.5,-498.0,116.0,-1167.0,-7.0,170.0,-400.5,-208.0,-507.0,156.0,4.0,-157.0,195.5,-630.0,156.0,351.0
8,8,1,1,1,5,563.0,547.0,-668.0,-212.0,18.0,-186.0,-76.5,-384.0,73.0,-247.0,-124.0,-166.0,-30.0,-52.0,-61.0,-300.0,-80.5,-278.0,-818.0,57.0,-762.5,-261.0,70.0,-182.5,-289.0,-99.0,-74.5
9,9,1,1,1,5,1056.5,752.0,-362.0,-99.0,-519.0,-466.0,-1.0,-410.0,-87.0,303.0,-398.5,219.0,-58.0,203.0,-80.0,65.0,-102.0,242.0,-57.0,86.0,-89.0,361.0,-71.0,-19.0,-134.0,353.0,-305.0
10,9,1,1,1,5,218.0,-131.5,179.0,-246.0,-153.0,22.5,-180.0,49.0,-226.0,-59.0,-62.0,105.5,-497.5,-171.0,-161.0,39.5,-114.0,-61.5,-218.0,351.0,-246.0,5.0,-91.0,444.5,-177.0,9.5,-268.0
11,9,1,1,1,5,224.0,84.0,-99.0,-8.0,-259.0,-125.0,-166.0,-82.0,475.0,-43.0,-214.0,-203.0,-425.0,-252.0,-461.0,21.0,194.0,55.0,217.0,-57.0,266.0,-73.0,235.0,-162.0,-152.0,-150.0,-204.0
12,9,1,1,1,5,270.5,142.5,210.0,-93.0,93.0,-196.0,-177.0,-60.0,-96.0,-143.0,97.5,-111.5,160.5,105.0,124.5,-92.5,-49.0,-153.5,-121.0,-182.0,-676.0,-142.0,-79.0,-157.0,-108.0,-156.5,126.0
13,9,1,1,1,5,-274.0,4.0,-233.0,112.0,-9.0,208.0,70.0,-56.0,105.0,-244.0,-91.0,-17.0,-125.0,-5.5,44.0,167.0,-13.0,288.0,40.0,35.0,-1.0,264.0,-58.0,-66.0,-89.0,75.0,11.5
14,9,1,1,1,5,-482.0,-19.0,161.0,-13.0,367.5,-235.0,89.0,158.0,60.5,41.5,45.0,138.0,-17.5,73.0,-94.0,-71.0,12.5,73.0,-138.5,-66.0,-355.5,-88.5,0.0,-1529.0,15.5,-226.0,59.5
15,9,1,1,1,5,73.5,-74.5,-1.0,283.5,53.0,37.0,-107.5,262.0,50.0,-124.0,-277.5,-388.5,-479.5,-8.0,-233.5,-67.5,134.5,-172.0,-34.5,68.5,-14.0,133.0,-73.0,47.5,-228.5,296.5,-62.0
16,9,1,1,1,5,31.0,145.5,12.0,-28.5,-81.5,-403.0,67.5,-221.0,206.0,-193.0,29.0,-115.5,-29.5,81.0,124.5,-50.5,14.0,98.5,-264.0,-117.5,-89.0,-20.0,-95.5,-433.5,60.0,246.0,7.0
17,9,1,1,1,5,-27.0,-20.5,-153.0,-18.0,94.0,14.5,-115.5,127.0,-30.5,-208.5,-75.0,-300.0,-144.0,-19.5,-19.0,229.0,-248.5,233.0,-236.0,164.0,-188.0,299.0,211.5,189.0,-28.0,146.5,-195.5
18,9,1,1,1,5,-109.5,-12.0,-191.5,61.0,-238.5,84.0,-542.0,68.0,-345.5,191.0,-172.0,-22.0,-17.5,11.0,-263.5,44.5,28.0,24.5,115.0,-183.0,125.0,121.0,-153.0,3.0,152.5,-108.5,-28.0
19,9,1,1,1,5,-292.0,-75.5,-380.5,-648.0,-531.5,-380.0,-942.0,-424.5,-516.5,-539.0,-358.0,-708.5,-571.5,-579.0,-746.0,-632.0,-1071.0,-44.0,-908.0,-247.0,-552.0,-254.0,-1417.5,-249.0,-682.5,-418.5,-1046.0
20,9,1,1,1,5,-1036.0,-461.0,-611.0,-324.0,-754.0,-794.0,-804.5,-335.0,-882.0,-394.5,-319.0,-888.5,-335.0,-159.5,-826.0,-315.5,-460.0,-1194.0,-577.5,-430.0,-751.0,-663.0,-967.5,-376.0,-1153.0,-384.0,-671.0
21,9,1,1,1,5,-766.5,-302.5,-618.5,-792.5,-1027.5,-687.0,-903.0,-825.5,-461.5,-1085.5,-544.0,-818.5,-622.5,-492.0,-758.5,-8.5,-1398.0,-630.0,-522.5,-973.5,-310.0,-1174.0,-137.0,579.0,369.5,-746.5,-61.0
22,9,1,1,1,5,-263.5,-1156.0,7.0,-1005.0,-223.0,-417.5,-961.0,-714.0,-829.0,-768.0,-912.5,-137.0,-1014.0,-467.5,-1053.0,-216.0,-880.5,-634.0,-292.5,-1057.0,-522.0,-828.5,-455.0,-381.0,-220.5,-927.0,-468.0
23,9,1,1,1,5,-421.0,-1255.0,-223.5,-987.0,-569.5,-1019.0,-556.0,-721.5,-409.5,-919.0,-242.0,-970.5,-666.5,-539.0,-1051.0,-469.5,-1049.0,-483.5,-663.5,-593.5,-1111.0,-610.5,-1210.0,-516.0,-1482.0,-611.0,-429.5
24,9,1,1,1,5,-310.0,-691.0,-827.0,-323.5,-659.0,-433.0,-689.0,-410.5,-716.5,-563.0,-757.0,-390.5,-1056.5,-404.0,-596.5,-641.5,-820.5,-24.5,-686.5,-286.0,-1184.0,-290.5,-741.0,-499.0,-1350.0,-364.5,-1199.0
25,9,1,1,1,5,-477.5,-476.5,-790.0,-621.0,-1177.5,-396.5,-974.0,-223.5,-1051.0,-459.0,-1253.0,-312.0,-748.0,-216.5,-1004.0,-218.5,-877.5,-598.0,-1105.5,-359.5,-1128.0,-585.5,-1081.0,-432.0,-774.0,-158.0,-769.0
26,9,1,1,1,5,-346.0,-1287.0,-419.0,-1266.0,-314.0,-563.0,-953.0,-528.0,-626.5,-497.0,-810.0,-347.0,-813.0,-157.0,-826.0,-429.0,-1107.0,-362.0,-1103.0,-394.0,-792.0,-273.0,-969.0,-569.0,-732.0,-519.0,-874.0
27,9,1,1,1,5,-503.0,-1081.5,-584.5,-954.5,-459.0,-832.0,-857.5,-319.5,-722.0,-460.5,-999.0,-604.5,-821.5,-406.0,-776.5,-532.0,-439.5,-108.0,-1153.0,-487.0,-636.0,-343.5,-706.0,-593.0,-505.5,-742.5,-718.0
28,9,1,1,1,5,-349.0,-758.5,-515.5,-803.0,-204.0,-1174.5,-67.0,-723.5,-322.5,-945.0,-426.5,-689.5,-317.0,-291.5,-380.5,-842.0,-368.0,-1218.0,-616.0,-1576.0,-650.0,-609.0,-943.0,-537.0,-293.0,-657.0,-500.5
29,9,1,1,1,5,-988.5,-490.0,-612.0,-338.5,-322.0,-437.0,-488.5,-502.0,-592.0,-454.0,-554.5,-165.0,-246.0,-158.5,-268.0,-399.0,-1016.5,-518.0,-787.0,-613.0,-586.0,-175.0,-1075.0,-361.0,-772.0,-325.0,-904.0
