unique_id,mode,gender,hold racket handed,play years,level,segment5_Az_median,segment9_Az_median,segment23_Az_median,segment8_Az_median,segment10_Az_median,segment13_Az_median,segment7_Az_median,segment12_Az_std,segment12_Az_median,segment17_Az_std,segment20_Az_std,segment18_Az_std,segment1_Az_mean,segment19_Az_median,segment18_Az_mean,segment15_Az_median,segment4_Az_median,segment14_Az_std,segment25_Az_median,segment7_Ax_max,segment1_Az_median,segment12_Ax_std,segment26_Ax_mean,segment13_Az_std,segment4_Az_std,segment12_Ax_mean,segment18_Az_median,segment20_Az_median,segment20_Gz_mean,segment21_Gx_max,segment0_Az_median,segment8_Az_mean,segment3_Az_median,segment9_Ax_std,segment15_Gz_median,segment12_Gx_max,segment16_Gz_mean,segment25_Ax_std,segment14_Gx_max,segment10_Az_std,segment13_Ax_std,segment17_Az_median,segment3_Ax_max,segment11_Az_median,segment21_Gz_mean,segment14_Gz_median,segment25_Az_mean,segment16_Gx_max,segment7_Az_std,segment0_Ay_mean,segment25_Ax_mean,segment20_Ax_mean,segment7_Ax_mean,segment7_Ay_max,segment6_Az_std,segment6_Ax_std,segment26_Ay_max,segment21_Az_std,segment3_Gz_mean,segment0_Ay_median,segment19_Az_std,segment8_Ax_std,segment16_Ax_std,segment10_Ax_std,segment15_Ax_mean,segment10_Ax_mean,segment14_Gx_std,segment5_Ax_max,segment26_Ax_max,segment16_Az_mean
1,1,1,1,1,5,-166.0,-314.0,69.0,35.0,-90.0,-425.5,-424.0,3531.2502862656943,-2.0,3477.2884219098187,3602.606938796274,3976.741953116517,163.72131147540983,-41.0,546.2786885245902,-217.0,-429.0,3448.7247032016817,14.0,6842.0,-832.0,2073.3986550589643,2791.8548387096776,3510.7639004456305,3719.593275107175,3785.1311475409834,834.0,308.5,182.4032258064516,32767.0,-22.0,516.1311475409836,-1795.0,2025.2527236036133,2035.0,32767.0,8562.934426229509,1843.3805159048495,32767.0,3348.3435400569833,1980.2413891789236,-387.0,7662.0,-1258.0,-531.9016393442623,-205.0,382.1967213114754,32767.0,3404.370491031234,-1592.229508196721,3664.754098360656,3745.403225806452,3654.852459016394,1324.0,3530.2839071582443,2046.2054870323484,498.0,3517.9282907341435,2669.6393442622953,-1620.0,3638.3063723113537,1897.4680551081417,1680.973648638598,1913.0458491250563,3613.770491803278,3761.147540983606,26713.497779043653,7362.0,7729.0,-501.9508196721312
2,2,1,1,1,5,696.0,-22.0,-140.0,-147.0,-52.0,793.0,434.0,3548.8208071226513,810.0,3620.549477119,3906.207690535669,4119.305827906229,117.86666666666666,960.0,1240.0533333333333,-266.0,715.0,4328.544567383155,58.0,10460.0,183.0,3082.6052123632194,1831.1866666666667,4245.707878990032,3645.670898781488,4359.893333333333,619.0,-88.0,-4398.64,32767.0,295.0,262.52,-633.0,3094.065425610059,6499.0,32767.0,5058.293333333333,3051.411093612629,32767.0,2498.836046340153,2913.2995355912117,869.0,11576.0,743.0,-1783.746666666667,-17003.0,616.7733333333333,32767.0,3738.978874267976,275.7567567567568,3808.266666666667,4949.8133333333335,4901.066666666667,843.0,4405.408216675903,3221.648935036563,713.0,3912.736580189824,6066.373333333333,270.5,4366.90389006521,2858.415607010289,2886.132756290558,2149.813660142044,3935.28,3598.4,28093.281146751084,11251.0,2918.0,811.4133333333333
3,3,1,1,1,5,629.0,587.5,78.0,597.0,317.5,-54.0,532.5,2704.5635140268614,312.0,2703.211813857161,2701.251050767986,2288.4078208789106,-253.5,585.5,215.82692307692307,584.5,585.0,2848.5120336976925,388.5,12529.0,33.0,3153.3481172050015,2136.346153846154,3129.3451765579593,2942.597921520486,3494.1634615384614,914.5,626.5,-2142.346153846154,32767.0,557.0,-205.89423076923077,422.0,3712.2932464393457,2201.5,32767.0,3271.6153846153848,3362.6301069035662,32767.0,2890.2847321397653,2964.6199288059743,595.5,13119.0,-84.5,-983.6442307692308,1671.5,-278.3269230769231,32767.0,2874.2267609359437,171.90291262135923,3764.932692307693,3542.8076923076924,3714.5384615384614,1271.0,2320.617738400137,3098.889591626487,1416.0,2631.639677869733,54.79807692307692,188.0,2617.4027080864107,2947.632317805705,2239.9832868505564,3030.16935590138,3570.4903846153848,3515.9615384615386,22497.76397141869,13366.0,3874.0,182.3846153846154
4,4,1,1,1,5,193.5,-13.0,-180.0,-24.0,63.0,357.5,28.5,2994.7131057623737,143.0,3002.2070159386626,3355.215603198499,2990.731697177385,-765.6764705882352,107.0,-508.5841584158416,-246.5,-95.0,3868.109461962593,-211.0,13306.0,-579.0,3148.7965466487417,3389.0098039215686,2564.9456133835533,3172.497322898424,3745.029702970297,-7.0,-26.0,-18.524752475247524,32767.0,292.0,-608.2277227722773,343.0,3779.2725155929807,9063.5,32767.0,148.1089108910891,3315.393028741086,32767.0,3519.153113911502,3085.9835648421677,-132.5,13241.0,-116.0,-1962.7843137254904,2920.0,-728.0294117647059,32767.0,2989.4019187930908,-122.62376237623762,3869.921568627451,3985.970297029703,3832.745098039215,934.0,3086.3751391651817,4113.688209291796,886.0,3055.356442130112,4001.8627450980393,76.0,2785.838862742371,3690.069084694573,3199.3991001589397,3788.170118252232,3366.274509803922,4820.8712871287125,24324.07506052076,13872.0,7823.0,-575.6237623762377
5,5,1,1,1,5,172.0,30.5,431.5,315.0,129.0,-77.0,289.5,3299.1773134557675,248.5,2298.58734815121,3675.501624505971,2906.7876792174816,-605.5188679245283,337.0,-172.14150943396226,257.0,337.0,2310.5886111883005,-687.0,11721.0,-530.0,3116.5466673200135,2840.1509433962265,3024.9088004093032,2853.7550039625876,3938.5849056603774,407.5,263.0,-1855.2571428571428,32767.0,386.0,-274.9056603773585,222.5,4416.213603129455,5627.5,32767.0,1075.377358490566,3436.574650117133,32767.0,2662.8542308527485,3150.540971436241,-26.5,13810.0,323.0,-3161.5,6885.5,-798.7169811320755,32767.0,3021.7198364107026,-163.37142857142857,3863.933962264151,4363.342857142857,3506.7264150943397,1035.0,3195.459592152491,3531.3578394313677,386.0,3416.3769708534173,306.6981132075472,-325.0,2797.1629526308734,3518.1845552235804,3368.2787973522577,2879.2042112355352,3580.8396226415093,3376.698113207547,19207.631560254984,14178.0,8413.0,-33.028301886792455
6,6,1,1,1,5,601.5,491.0,235.0,350.0,372.0,229.0,695.5,2977.8674544971364,226.5,2947.5151998938773,2818.6004099038337,3350.692196216624,-341.8076923076923,331.5,267.3076923076923,401.0,448.0,3082.145600049995,112.5,12367.0,-234.5,3077.716803333872,3641.552380952381,2560.1402004905513,2887.180125329865,3948.096153846154,428.5,476.0,574.5288461538462,32767.0,461.0,-155.0857142857143,-80.0,2852.1960232994934,2982.0,32767.0,-696.9423076923077,3291.6635873437644,32767.0,3020.7985882175135,2189.947175374261,262.0,12582.0,-92.0,-1165.8461538461538,2193.5,-176.46153846153845,32767.0,2728.414082028982,240.70192307692307,3645.471153846154,3680.298076923077,3729.355769230769,827.0,2923.033451536566,3292.953720484313,951.0,2995.044992904602,-3958.9903846153848,238.5,3609.0596327938574,2877.4199320251155,3024.8513142434495,3075.928327904011,3971.4134615384614,3498.1923076923076,22640.579372579912,14094.0,14029.0,-292.0576923076923
7,7,1,1,1,5,-106.5,-105.0,195.5,-86.0,-26.0,116.0,-299.0,3585.1026819773797,-498.0,4090.058878785926,3075.718886732156,3766.350159750176,538.990990990991,-507.0,-678.2252252252252,-7.0,212.0,3698.6055564793983,156.0,14516.0,566.0,4086.229158167391,1630.4017857142858,3840.6036382294983,2767.989107143457,4485.441441441441,-208.0,156.0,-1242.3125,32767.0,633.0,-252.0178571428571,-145.0,3340.1100282371626,6293.0,32767.0,1321.4774774774776,2989.564463543424,32767.0,3254.5994999696195,4303.583217848282,-400.5,13190.0,40.5,2822.1801801801803,1118.5,-253.54054054054055,32767.0,2606.122164438809,246.07207207207207,1981.6666666666667,3459.375,3478.108108108108,3127.0,2775.108751048815,3254.6404022127053,129.0,3285.6272782835536,637.6216216216217,239.0,3345.810312153871,3660.262195940685,3630.918880762201,3437.8860794677453,3957.9189189189183,3541.7027027027025,22496.61706815938,14479.0,2803.0,11.576576576576576
8,8,1,1,1,5,-186.0,-247.0,-182.5,73.0,-124.0,-52.0,-384.0,3162.720804133359,-30.0,3668.7249603683745,4212.762718841176,3589.7333608241797,517.8,57.0,-296.4761904761905,-300.0,18.0,3332.3780251487574,-99.0,15545.0,547.0,3962.086956044281,3837.877358490566,3432.584135809726,3083.652228318787,3782.780952380952,-818.0,-762.5,-4782.018867924528,32767.0,563.0,-157.0,-212.0,3892.3905019282342,1833.0,32767.0,-552.3018867924528,4277.978137883434,32767.0,3339.199780938585,3967.6551412359063,-278.0,14522.0,-166.0,2282.647619047619,2100.0,-44.87619047619047,32767.0,3066.926426975503,154.07619047619048,3862.247619047619,4368.66037735849,3823.8380952380953,3010.0,4059.530753387668,4940.669205160391,2759.0,3307.1483687979035,835.7641509433962,144.0,3738.9747792191897,4217.301459421319,3990.422270883671,4264.501869315597,3577.5238095238096,3783.5,21325.046289649446,14257.0,14282.0,-170.82075471698113
9,9,1,1,1,5,-466.0,303.0,-19.0,-87.0,-398.5,203.0,-410.0,1408.5110870877018,-58.0,1882.7957004210011,1400.3949196800736,1168.6747723155113,668.0857142857143,86.0,-82.44761904761904,65.0,-519.0,1611.0315424999303,353.0,8899.0,752.0,1823.0667052749568,3273.638095238095,1973.9776430211648,1859.3114929336348,3265.304761904762,-57.0,-89.0,-615.2857142857143,7422.0,1056.5,-422.45714285714286,-99.0,2923.4234751187323,198.0,6355.0,-830.9134615384615,2290.373540042141,6205.0,1742.55952477749,2471.3328252670926,242.0,9781.0,219.0,-853.5865384615385,128.0,-472.8285714285714,6504.0,1392.6968930200371,53.38461538461539,3086.2571428571428,3264.6285714285714,2549.904761904762,2073.0,2078.212342516897,2014.0904855069257,1582.0,1897.586154867344,-964.0857142857144,64.5,1836.39060423916,2252.4711108503525,2151.9349748760237,1634.6110798303046,2714.4380952380952,2865.548076923077,3608.369113281937,9163.0,10256.0,-321.9519230769231
10,9,1,1,1,5,22.5,-59.0,444.5,-226.0,-62.0,-171.0,49.0,2614.224183883241,-497.5,2270.0134301585094,1469.7465431495325,1686.532962781189,-298.05,351.0,-641.1414141414141,39.5,-153.0,1812.4421170067749,9.5,9555.0,-131.5,3064.851982657564,3569.57,2420.4433440249177,1940.343504490067,3717.62,-218.0,-246.0,-659.9,7584.0,218.0,-620.9,-246.0,2113.026323608106,315.0,8348.0,-688.66,1579.3832561794493,7071.0,1794.6071753729282,2488.1300714643626,-61.5,9504.0,105.5,238.22,-3.5,-790.82,7562.0,1832.9422470716308,-1559.919191919192,2770.51,3260.91,3206.99,1101.0,1948.2797635606648,1928.0792341343235,981.0,1613.4250958752314,-647.72,-1291.0,2008.690716138251,2623.264229085587,2360.4467673726513,2249.928176875875,3255.21,3377.67,3555.613005994887,10100.0,10580.0,-436.16
