feature,rank_1,rank_2,rank_3,rank_4,mean_rank
segment8_Az_median,6,2,2,4,3.5
segment20_Az_median,17,1,41,12,17.75
segment13_Az_median,3,23,19,33,19.5
segment17_Az_std,28,13,12,28,20.25
segment20_Az_std,29,20,10,26,21.25
segment5_Az_median,44,3,8,31,21.5
segment10_Az_median,13,6,60,10,22.25
segment12_Az_median,1,14,7,69,22.75
segment12_Ax_std,7,21,37,36,25.25
segment12_Az_std,35,34,27,15,27.75
segment3_Az_median,92,17,35,6,37.5
segment9_Az_median,20,7,130,3,40.0
segment17_Ax_mean,109,33,17,14,43.25
segment18_Az_std,63,43,25,46,44.25
segment7_Ax_mean,58,76,26,21,45.25
segment25_Az_median,111,12,64,2,47.25
segment0_Az_median,64,32,46,55,49.25
segment1_Az_median,96,28,29,63,54.0
segment1_Az_mean,71,24,81,47,55.75
segment2_Az_median,84,22,90,27,55.75
segment8_Az_std,46,46,49,93,58.5
segment8_Gz_mean,72,124,9,40,61.25
segment19_Ax_mean,122,68,16,44,62.5
segment23_Az_median,34,16,86,114,62.5
segment4_Az_median,116,10,66,62,63.5
segment18_Ax_mean,106,88,21,41,64.0
segment25_Gy_mean,4,85,104,90,70.75
segment21_Ax_std,131,72,55,25,70.75
segment24_Gy_mean,16,121,38,118,73.25
segment12_Ax_mean,205,38,32,20,73.75
segment20_Ax_mean,224,35,13,37,77.25
segment4_Ax_mean,2,144,164,7,79.25
segment19_Az_median,33,31,107,154,81.25
segment14_Az_median,200,18,99,9,81.5
segment17_Az_mean,105,29,96,100,82.5
segment9_Az_std,98,90,22,121,82.75
segment22_Az_std,132,86,43,91,88.0
segment24_Az_std,263,71,15,18,91.75
segment23_Ax_mean,233,80,34,24,92.75
segment26_Az_median,40,25,144,169,94.5
segment14_Az_std,209,120,31,22,95.5
segment7_Az_median,134,4,245,5,97.0
mode,226,164,1,1,98.0
segment0_Ay_mean,211,141,23,19,98.5
segment21_Gz_median,154,196,18,59,106.75
segment13_Ax_std,276,50,45,57,107.0
segment16_Az_median,126,44,163,97,107.5
segment2_Az_mean,62,55,115,207,109.75
segment1_Az_std,155,79,190,16,110.0
segment15_Az_std,27,83,105,228,110.75
segment11_Gy_min,91,182,51,124,112.0
segment21_Gx_max,5,193,62,204,116.0
segment0_Ax_median,130,188,4,146,117.0
segment16_Az_std,187,45,47,195,118.5
segment21_Az_std,273,57,57,102,122.25
segment0_Ay_median,93,116,78,203,122.5
segment9_Gz_median,178,131,117,65,122.75
segment2_Ax_std,18,176,166,132,123.0
segment19_Ax_std,345,30,109,11,123.75
segment3_Ax_mean,281,36,82,106,126.25
segment22_Gy_mean,245,99,14,152,127.5
segment21_Ax_mean,309,52,68,84,128.25
segment0_Gz_mean,194,250,33,39,129.0
segment15_Ax_std,24,42,277,174,129.25
segment24_Gy_min,148,126,67,177,129.5
segment25_Ax_mean,95,109,97,223,131.0
segment26_Ax_mean,304,127,70,23,131.0
segment18_Ax_std,123,96,147,159,131.25
segment6_Gz_mean,264,136,63,66,132.25
segment23_Gx_median,196,142,11,189,134.5
segment15_Az_median,201,8,217,119,136.25
segment11_Az_median,286,9,118,140,138.25
segment11_Gy_mean,80,166,95,214,138.75
segment8_Gy_mean,135,255,106,60,139.0
segment16_Gz_median,32,272,40,219,140.75
segment6_Az_median,320,37,202,8,141.75
segment9_Gz_mean,147,181,88,155,142.75
segment18_Az_max,406,62,52,53,143.25
segment26_Ax_max,167,348,28,35,144.5
segment22_Az_median,38,11,290,242,145.25
segment26_Az_std,136,102,89,264,147.75
segment23_Ax_std,352,84,42,113,147.75
segment5_Az_std,338,75,65,116,148.5
segment11_Ax_max,81,384,84,48,149.25
segment21_Ay_max,152,434,3,13,150.5
segment16_Gx_median,397,82,56,68,150.75
segment26_Gy_std,39,157,316,104,154.0
segment17_Az_median,210,15,125,266,154.0
segment7_Az_std,169,104,6,339,154.5
segment17_Ax_std,19,47,394,166,156.5
segment10_Ax_mean,157,180,131,162,157.5
segment13_Ay_max,140,239,201,51,157.75
segment12_Az_mean,381,135,85,32,158.25
segment5_Gy_min,112,148,122,252,158.5
segment3_Gx_max,22,225,243,145,158.75
segment24_Ay_max,197,281,129,30,159.25
segment26_Az_max,248,187,149,54,159.5
segment4_Az_std,325,26,158,135,161.0
segment25_Az_std,90,152,148,275,166.25
segment1_Gx_median,288,143,124,117,168.0
segment11_Gx_median,225,159,261,42,171.75
segment10_Ax_std,52,91,91,458,173.0
segment5_Ax_max,354,162,140,43,174.75
segment13_Gx_median,307,77,292,29,176.25
segment2_Az_std,153,298,59,200,177.5
segment25_Ay_max,244,357,94,17,178.0
segment6_Ax_mean,10,41,343,323,179.25
segment18_Gy_std,174,254,177,115,180.0
segment7_Ax_max,137,165,183,241,181.5
segment7_Gy_std,217,237,169,109,183.0
segment21_Ay_min,183,161,142,255,185.25
segment14_Gx_std,76,117,188,362,185.75
segment18_Gy_min,31,260,197,262,187.5
segment16_Ax_std,412,78,229,34,188.25
segment14_Ax_std,94,63,413,188,189.5
segment11_Az_std,362,73,53,273,190.25
segment16_Ax_mean,50,65,523,125,190.75
segment2_Gy_min,326,128,253,64,192.75
segment5_Az_max,117,215,159,285,194.0
segment23_Ay_min,54,222,400,108,196.0
segment7_Az_mean,114,58,323,294,197.25
segment14_Ax_mean,271,48,395,75,197.25
segment8_Ax_mean,227,40,180,343,197.5
segment11_Ax_mean,371,54,184,191,200.0
segment24_Ax_std,113,291,286,112,200.5
segment0_Az_std,334,233,108,128,200.75
segment24_Az_median,199,27,176,401,200.75
segment12_Ay_max,303,267,175,70,203.75
segment5_Az_mean,66,331,236,184,204.25
segment6_Az_std,651,74,48,45,204.5
segment20_Gz_mean,156,101,381,185,205.75
segment4_Ay_max,42,389,76,317,206.0
segment11_Ay_max,45,355,222,206,207.0
segment4_Gy_min,59,431,103,235,207.0
segment26_Ay_max,68,140,495,126,207.25
segment25_Gx_max,11,129,334,360,208.5
segment1_Ax_std,343,231,54,212,210.0
segment3_Az_std,608,95,73,67,210.75
segment21_Ay_mean,220,167,285,182,213.5
segment0_Gx_max,129,463,112,153,214.25
segment16_Ay_mean,214,123,133,400,217.5
segment12_Gz_mean,162,286,291,136,218.75
segment1_Ax_mean,48,194,77,556,218.75
segment20_Gx_median,353,221,71,233,219.5
segment4_Gx_median,53,494,252,85,221.0
segment15_Gx_median,521,115,193,58,221.75
segment16_Gy_std,408,295,100,96,224.75
segment7_Gz_median,336,203,72,290,225.25
segment19_Az_std,171,61,146,524,225.5
segment6_Ax_std,382,51,123,349,226.25
segment17_Ay_min,212,223,422,50,226.75
segment6_Gz_median,398,241,39,230,227.0
segment6_Gy_mean,43,113,349,412,229.25
segment20_Az_mean,23,97,565,236,230.25
segment16_Az_max,141,323,150,309,230.75
segment4_Gx_std,385,132,247,172,234.0
segment18_Az_mean,299,112,165,368,236.0
segment17_Gz_mean,119,310,207,320,239.0
segment21_Az_median,654,5,191,107,239.25
segment9_Ax_min,177,311,173,298,239.75
segment2_Ay_std,61,582,227,92,240.5
segment0_Ay_min,221,365,30,351,241.75
segment14_Gx_max,14,149,157,655,243.75
segment23_Gy_std,322,315,205,134,244.0
segment3_Gy_min,36,437,240,265,244.5
segment9_Gy_min,260,171,405,149,246.25
segment9_Gy_median,110,189,267,425,247.75
segment1_Ay_mean,89,332,429,143,248.25
segment13_Ax_mean,535,190,80,194,249.75
segment20_Gy_mean,360,183,378,79,250.0
segment8_Ay_max,357,197,265,183,250.5
segment6_Ay_max,78,432,203,299,253.0
segment6_Gx_std,160,201,339,316,254.0
segment17_Ay_std,159,334,128,404,256.25
segment11_Az_max,421,204,321,80,256.5
segment17_Az_min,173,467,301,88,257.25
segment3_Gz_mean,240,289,238,263,257.5
segment17_Gx_max,12,105,478,436,257.75
segment3_Ay_max,311,240,199,283,258.25
segment17_Ax_max,191,457,114,274,259.0
segment6_Ay_min,437,368,83,148,259.0
segment13_Ay_mean,30,114,287,609,260.0
segment19_Gy_median,118,499,350,77,261.0
segment10_Ay_max,287,227,390,142,261.5
segment0_Ax_mean,165,103,5,784,264.25
segment18_Gz_mean,219,324,305,210,264.5
segment18_Ay_max,432,294,152,181,264.75
segment16_Gz_mean,60,192,398,411,265.25
segment17_Gy_mean,407,208,219,232,266.5
segment0_Gx_mean,73,271,174,550,267.0
segment22_Gz_median,228,328,186,328,267.5
segment15_Ax_min,231,402,161,278,268.0
segment18_Az_median,571,19,276,208,268.5
segment1_Ay_max,347,303,342,83,268.75
segment11_Ax_std,176,130,410,365,270.25
segment16_Ax_max,236,265,485,99,271.25
segment19_Gy_mean,82,147,472,388,272.25
segment19_Gx_median,766,107,143,74,272.5
segment8_Az_min,403,282,319,86,272.5
segment19_Ay_mean,115,163,309,504,272.75
segment19_Ay_median,51,293,328,423,273.75
segment23_Ay_max,279,588,24,205,274.0
segment13_Ay_min,465,156,359,123,275.75
segment15_Gy_median,8,490,230,379,276.75
segment5_Ay_max,438,322,264,87,277.75
segment2_Gz_median,133,343,98,537,277.75
segment22_Ax_mean,448,257,358,49,278.0
segment4_Gz_mean,207,150,218,544,279.75
segment14_Gz_mean,83,186,329,523,280.25
segment10_Ay_min,312,87,483,240,280.5
segment0_Ay_std,268,661,141,52,280.5
segment14_Gy_min,321,118,155,529,280.75
segment6_Gy_median,67,479,258,322,281.5
segment14_Az_max,302,363,266,201,283.0
segment15_Ax_mean,168,184,688,95,283.75
segment24_Ay_median,332,296,294,215,284.25
segment4_Az_mean,447,59,488,147,285.25
segment13_Ax_min,195,314,373,260,285.5
segment22_Gy_median,255,504,187,196,285.5
segment9_Ax_mean,259,49,93,743,286.0
segment5_Ay_mean,301,168,198,481,287.0
segment2_Ay_max,182,423,154,390,287.25
segment6_Az_mean,647,110,200,198,288.75
segment22_Ay_max,318,684,20,133,288.75
segment8_Gy_median,41,562,189,370,290.5
segment3_Gz_median,298,648,79,141,291.5
segment17_Ay_max,367,339,126,335,291.75
segment15_Az_mean,274,234,151,515,293.5
segment9_Ay_max,26,346,58,745,293.75
segment21_Ax_min,356,284,280,257,294.25
segment15_Az_min,55,407,331,387,295.0
segment21_Gy_mean,15,158,556,460,297.25
segment7_Ay_max,789,262,44,94,297.25
segment0_Gy_median,246,170,224,554,298.5
segment23_Gy_mean,69,366,367,395,299.25
segment4_Gz_median,317,309,192,386,301.0
segment0_Ax_std,282,633,75,225,303.75
segment19_Az_min,104,677,332,103,304.0
segment9_Gy_mean,682,256,179,101,304.5
segment20_Gy_std,386,525,92,217,305.0
segment3_Ax_max,222,364,407,231,306.0
segment17_Ay_median,77,236,289,623,306.25
segment11_Az_min,430,390,368,38,306.5
segment5_Ax_mean,639,89,119,380,306.75
segment26_Gz_median,250,335,353,289,306.75
segment8_Ax_std,779,39,212,202,308.0
segment12_Ay_median,234,471,36,492,308.25
segment7_Gy_min,235,474,250,277,309.0
segment20_Ay_max,192,249,110,685,309.0
segment7_Ax_min,79,460,459,239,309.25
segment2_Gx_median,270,172,256,545,310.75
segment26_Gy_median,289,660,69,226,311.0
segment25_Ax_std,249,70,249,681,312.25
segment18_Ay_mean,202,235,393,421,312.75
segment5_Az_min,87,396,593,175,312.75
segment22_Gz_mean,339,301,274,344,314.5
segment3_Ax_median,124,441,308,391,316.0
segment0_Gx_median,266,210,417,374,316.75
segment7_Az_min,189,436,182,464,317.75
segment26_Ay_mean,372,422,50,428,318.0
segment0_Gz_min,108,635,310,220,318.25
segment13_Gy_mean,505,251,440,82,319.5
segment0_Az_max,181,469,282,348,320.0
segment5_Gy_median,368,217,428,267,320.0
segment24_Az_mean,730,300,87,167,321.0
segment23_Gy_min,306,287,338,356,321.75
segment1_Ay_median,198,382,341,376,324.25
segment16_Ay_max,387,556,226,129,324.5
segment8_Gz_median,241,705,215,137,324.5
segment18_Gy_mean,355,393,194,363,326.25
