feature,rank_1,rank_2,rank_3,rank_4,mean_rank
swing9_median_az,5,1,2,2,2.5
swing13_median_az,3,2,3,4,3.0
swing14_median_az,4,14,4,8,7.5
swing18_rms_ax,10,10,9,13,10.5
swing11_median_az,1,7,38,6,13.0
swing21_median_az,14,5,10,23,13.0
swing6_median_az,39,4,8,3,13.5
swing13_rms_ax,27,3,31,47,27.0
swing21_std_az,29,43,34,18,31.0
swing26_median_az,61,11,42,21,33.75
swing22_rms_ax,81,35,14,10,35.0
swing18_std_az,26,76,37,15,38.5
swing23_median_az,88,15,52,5,40.0
swing19_rms_ax,115,24,12,27,44.5
swing9_mean_gz,67,89,7,33,49.0
swing25_std_az,35,53,62,57,51.75
swing17_rms_ax,78,17,24,97,54.0
swing21_mean_ax,93,86,11,34,56.0
swing24_rms_ax,187,22,6,11,56.5
swing16_rms_ax,59,23,123,35,60.0
swing24_median_gx,121,69,35,16,60.25
swing24_median_az,154,8,46,44,63.0
swing11_rms_ax,18,36,174,28,64.0
swing14_rms_ax,32,33,146,48,64.75
swing27_median_az,122,27,63,68,70.0
swing17_median_az,171,30,82,7,72.5
swing21_rms_ax,12,45,204,38,74.75
swing25_min_gy,79,119,73,29,75.0
swing8_mean_ax,163,94,26,17,75.0
swing8_median_az,155,12,120,14,75.25
swing10_rms_ax,194,13,19,76,75.5
swing20_mean_ax,159,87,49,9,76.0
swing13_mean_ax,64,83,15,150,78.0
swing5_median_az,86,9,33,186,78.5
swing18_mean_az,7,51,84,176,79.5
swing7_rms_ax,100,26,29,165,80.0
swing19_median_az,197,18,86,22,80.75
swing22_median_az,131,34,25,134,81.0
swing8_max_ay,40,188,74,26,82.0
swing13_rms_az,2,251,50,56,89.75
swing26_mean_ax,41,59,117,142,89.75
swing20_median_gx,127,103,64,83,94.25
swing10_std_az,180,74,104,20,94.5
swing25_rms_az,184,117,22,58,95.25
swing12_rms_ax,268,32,56,46,100.5
swing9_mean_az,38,47,182,157,106.0
swing23_mean_gy,95,189,17,136,109.25
swing7_median_az,206,20,172,49,111.75
swing22_median_gy,71,167,122,96,114.0
swing9_rms_ax,37,21,320,80,114.5
swing27_max_ay,13,202,55,191,115.25
swing15_median_az,73,19,43,329,116.0
swing19_mean_ax,229,122,27,90,117.0
swing7_mean_az,63,49,131,230,118.25
swing20_median_az,170,31,47,231,119.75
swing12_std_az,252,92,39,98,120.25
swing10_median_az,96,16,101,269,120.5
swing27_mean_ay,201,181,16,89,121.75
swing21_median_gz,55,124,110,199,122.0
swing13_mean_az,254,39,118,92,125.75
swing22_mean_gy,20,99,342,64,131.25
swing16_median_az,256,42,107,120,131.25
swing5_mean_ax,231,125,108,67,132.75
swing5_mean_az,6,61,239,228,133.5
swing23_rms_az,209,281,23,37,137.5
swing9_mean_ax,232,105,130,86,138.25
swing22_median_gz,207,242,28,87,141.0
swing17_std_az,198,115,75,183,142.75
swing19_std_az,340,48,145,42,143.75
swing6_rms_ax,203,62,115,197,144.25
swing18_median_az,322,29,18,224,148.25
swing16_mean_az,114,72,268,143,149.25
swing15_std_az,220,114,96,169,149.75
swing13_std_az,123,56,119,301,149.75
swing17_median_gz,49,334,13,210,151.5
swing22_std_az,326,58,69,166,154.75
swing22_max_ay,241,278,5,95,154.75
swing27_mean_ax,199,174,79,168,155.0
mode,266,370,1,1,159.5
swing26_mean_gy,17,98,440,85,160.0
swing26_rms_ax,425,67,83,66,160.25
swing9_std_az,239,96,269,39,160.75
swing7_mean_gz,101,259,129,163,163.0
swing21_rms_az,361,104,68,121,163.5
swing7_max_ax,43,315,134,162,163.5
swing17_mean_ay,16,313,103,223,163.75
swing27_median_ay,112,146,51,356,166.25
swing25_max_ay,242,224,116,84,166.5
swing12_min_gy,152,262,32,221,166.75
swing22_mean_ax,275,65,297,30,166.75
swing8_rms_ax,443,41,165,19,167.0
swing22_min_ay,50,186,163,270,167.25
swing19_min_gy,148,213,155,159,168.75
swing23_std_az,179,63,259,188,172.25
swing10_mean_ax,104,66,203,316,172.25
swing25_mean_gy,130,280,65,216,172.75
swing5_mean_gz,65,148,97,386,174.0
swing17_median_gx,309,110,136,145,175.0
swing20_mean_gy,299,139,158,111,176.75
swing12_median_az,276,46,102,286,177.5
swing8_mean_az,243,37,132,300,178.0
swing9_max_ax,188,275,139,114,179.0
swing25_rms_ax,263,52,210,194,179.75
swing25_median_az,372,6,171,174,180.75
swing22_max_gx,9,155,277,284,181.25
swing18_mean_ax,399,116,99,117,182.75
swing12_rms_az,24,230,306,173,183.25
swing10_mean_gz,143,101,36,454,183.5
swing7_median_gz,261,238,98,138,183.75
swing23_max_ay,189,358,70,122,184.75
swing6_min_gy,89,90,90,474,185.75
swing10_median_gy,58,145,434,109,186.5
swing22_rms_ay,120,28,322,276,186.5
swing8_median_gz,379,197,105,69,187.5
swing15_std_gx,31,168,92,466,189.25
swing11_mean_ax,124,240,58,335,189.25
swing13_mean_ay,162,150,312,140,191.0
swing5_rms_ax,478,78,180,31,191.75
swing18_mean_gy,211,130,95,336,193.0
swing18_mean_gz,228,108,218,219,193.25
swing8_std_az,248,126,230,170,193.5
swing15_mean_az,150,176,193,266,196.25
swing27_max_az,45,561,125,55,196.5
swing12_median_gx,178,257,227,124,196.5
swing22_mean_az,92,54,388,256,197.5
swing20_rms_ax,298,25,147,320,197.5
swing14_mean_ay,191,143,377,81,198.0
swing16_min_ax,219,367,166,40,198.0
swing16_std_az,284,88,263,161,199.0
swing9_mean_gy,251,118,77,354,200.0
swing23_mean_gz,53,363,324,61,200.25
swing15_rms_gx,91,348,299,63,200.25
swing24_std_az,108,164,295,264,207.75
swing5_mean_gy,190,297,181,167,208.75
swing14_mean_ax,60,357,151,272,210.0
swing17_mean_az,144,40,272,394,212.5
swing20_median_gz,165,210,109,368,213.0
swing19_std_gy,267,161,294,131,213.25
swing10_median_gx,533,60,202,60,213.75
swing21_mean_az,576,38,196,52,215.5
swing8_rms_az,307,128,21,407,215.75
swing10_median_gz,83,563,194,24,216.0
swing18_min_ay,244,160,394,78,219.0
swing26_std_az,46,319,417,94,219.0
swing14_max_ay,249,322,169,139,219.75
swing21_median_gx,375,97,200,208,220.0
swing13_max_ay,119,227,113,437,224.0
swing26_max_ay,246,443,81,126,224.0
swing20_median_gy,87,208,579,25,224.75
swing12_max_ax,214,360,78,253,226.25
swing10_rms_az,56,383,205,262,226.5
swing6_median_gz,176,556,135,43,227.5
swing12_mean_gy,300,57,20,533,227.5
swing8_rms_gz,132,407,121,267,231.75
swing7_median_gy,94,380,323,133,232.5
swing27_max_ax,367,229,57,280,233.25
swing8_min_gy,135,316,228,255,233.5
swing23_median_gz,110,204,253,369,234.0
swing24_mean_ax,223,129,425,171,237.0
swing19_max_ay,466,364,66,53,237.25
swing19_mean_gz,328,217,209,196,237.5
swing6_max_ay,428,253,208,62,237.75
swing6_mean_ay,118,318,112,404,238.0
swing27_mean_gy,278,205,274,202,239.75
swing19_rms_az,262,312,87,299,240.0
swing6_max_ax,359,299,128,179,241.25
swing9_median_gz,364,185,160,261,242.5
swing19_median_gz,47,246,141,541,243.75
swing18_max_ay,376,430,140,32,244.5
swing20_max_ax,224,301,251,206,245.5
swing5_std_gx,77,107,143,655,245.5
swing8_mean_gz,117,282,195,391,246.25
swing23_std_gy,217,507,54,209,246.75
swing9_rms_gy,200,449,207,137,248.25
swing5_median_ay,259,260,405,71,248.75
swing10_mean_gy,54,141,300,500,248.75
swing22_mean_ay,273,156,85,484,249.5
swing19_max_ax,158,187,551,108,251.0
swing14_std_az,433,133,334,104,251.0
swing9_max_ay,312,349,252,99,253.0
swing15_min_gy,389,276,190,181,259.0
swing18_min_az,42,222,484,290,259.5
swing9_median_gy,133,523,235,156,261.75
swing27_median_gy,341,626,30,51,262.0
swing27_rms_ax,84,232,395,338,262.25
swing12_mean_ax,369,80,93,508,262.5
swing13_mean_gy,258,172,447,175,263.0
swing6_median_gy,44,463,271,275,263.25
swing24_max_ay,280,501,48,229,264.5
swing22_rms_gz,291,442,111,215,264.75
swing22_mean_gz,339,151,463,110,265.75
swing27_std_az,195,393,53,430,267.75
swing11_mean_az,331,106,243,403,270.75
swing10_min_gy,129,745,201,12,271.75
swing24_min_ay,422,473,76,128,274.75
swing13_std_gy,34,218,257,591,275.0
swing18_max_gx,25,431,149,495,275.0
swing14_min_gy,80,491,337,192,275.0
swing15_rms_az,202,71,40,791,276.0
swing18_std_gx,470,138,345,152,276.25
swing15_rms_ax,770,64,238,36,277.0
swing11_median_gz,330,296,246,236,277.0
swing5_std_az,490,77,144,413,281.0
swing9_std_ax,213,79,338,498,282.0
swing24_rms_gz,216,231,449,235,282.75
swing27_rms_az,128,540,44,420,283.0
swing19_median_gx,415,515,157,45,283.0
test_time,385,569,61,119,283.5
swing13_mean_gz,140,429,293,273,283.75
swing12_max_ay,352,509,177,101,284.75
swing5_median_gz,98,252,153,637,285.0
