,0
mode,60
segment8_Az_median,53
segment21_Ay_max,38
segment0_Ax_median,36
segment0_Ax_mean,33
segment7_Az_std,32
segment12_Az_median,30
segment5_Az_median,30
segment8_Gz_mean,30
segment20_Az_std,30
segment23_Gx_median,30
segment17_Az_std,28
segment20_Ax_mean,27
segment13_Az_median,26
segment22_Gy_mean,26
segment24_Az_std,26
segment19_Ax_mean,26
segment17_Ax_mean,26
segment21_Gz_median,26
segment22_Ay_max,24
segment18_Ax_mean,24
segment9_Az_std,24
segment0_Ay_mean,23
segment7_Ax_mean,22
segment18_Az_std,22
segment23_Ay_max,22
segment12_Az_std,21
segment26_Ax_max,21
segment1_Az_median,21
segment0_Ay_min,20
segment14_Az_std,20
segment12_Ax_mean,20
segment16_Gz_median,19
segment6_Gz_median,19
segment24_Gy_mean,19
segment20_Az_median,19
segment12_Ax_std,19
segment12_Ay_median,19
segment3_Az_median,19
segment23_Ax_mean,19
segment0_Gz_mean,19
segment23_Ax_std,18
segment22_Az_std,18
segment7_Ay_max,18
segment13_Ax_std,18
segment11_Gy_min,17
segment26_Ay_mean,17
segment18_Az_max,17
segment8_Az_std,17
segment16_Az_std,17
segment6_Az_std,17
segment0_Az_median,17
segment11_Az_std,16
segment4_Az_median,15
segment5_Az_std,15
segment25_Az_median,15
segment6_Gz_mean,15
segment21_Gx_max,15
segment10_Az_median,15
segment7_Ay_median,15
segment21_Ax_std,15
segment2_Az_std,15
segment1_Ax_std,15
segment9_Ay_max,15
segment21_Az_std,15
segment16_Gx_median,15
segment7_Gz_median,14
segment20_Gx_median,14
segment26_Ax_mean,14
segment24_Gy_min,14
segment21_Ax_mean,14
segment26_Gy_median,14
segment13_Ax_mean,13
segment1_Ax_mean,13
segment3_Gz_median,13
segment0_Ay_median,13
segment19_Ay_max,13
segment4_Ay_max,13
segment0_Ax_std,13
segment3_Az_std,13
segment1_Az_mean,12
segment3_Ax_mean,12
segment6_Ay_min,12
segment11_Ax_max,12
segment12_Az_mean,12
segment23_Az_median,12
segment24_Az_mean,12
segment9_Gz_mean,12
segment26_Az_std,12
segment2_Az_median,12
segment25_Gy_mean,11
segment4_Gy_min,11
segment25_Gz_median,11
segment22_Ay_std,11
segment16_Gy_std,11
segment15_Az_std,11
segment14_Az_median,11
segment25_Ay_max,11
segment25_Ax_mean,11
segment20_Gy_std,11
segment9_Ax_mean,11
segment10_Ax_std,11
segment11_Gy_mean,11
segment17_Az_mean,11
segment2_Gz_median,11
segment6_Ax_std,10
segment5_Gy_min,10
segment1_Gx_std,10
segment13_Gy_std,10
segment5_Ax_mean,10
segment11_Az_median,10
segment9_Gz_median,10
segment1_Gx_median,10
segment25_Ax_min,10
segment8_Gy_mean,10
segment17_Ax_max,10
segment22_Gy_min,10
segment2_Az_mean,10
segment0_Gx_max,10
segment18_Az_min,10
segment20_Ay_max,10
segment19_Ax_std,10
segment0_Az_std,10
segment19_Az_median,10
segment5_Ax_max,9
segment21_Ay_min,9
segment26_Az_median,9
segment19_Gx_median,9
segment11_Gx_std,9
segment12_Ax_min,9
segment19_Az_std,9
segment18_Ax_std,9
segment23_Az_std,9
segment25_Az_std,9
segment0_Ay_std,9
segment23_Ax_min,9
segment5_Gz_mean,9
segment24_Gz_std,9
segment17_Ay_max,9
segment9_Az_max,9
segment17_Ay_std,9
segment24_Ay_max,9
segment17_Az_median,9
segment10_Ax_mean,9
segment26_Gz_std,9
segment16_Ay_mean,9
segment4_Ax_median,9
segment9_Az_median,9
segment7_Gz_mean,8
segment8_Gz_min,8
segment18_Gy_std,8
segment9_Ax_min,8
segment0_Gx_mean,8
segment8_Gx_std,8
segment12_Ay_max,8
segment24_Az_median,8
segment7_Gy_std,8
segment23_Gz_median,8
segment7_Ax_max,8
segment9_Gy_mean,8
segment8_Ax_mean,8
segment26_Gx_median,8
segment7_Az_min,8
segment11_Ax_mean,8
segment5_Gy_std,8
segment10_Gx_median,8
segment18_Az_mean,8
segment2_Ax_std,8
segment8_Gz_std,8
segment16_Az_max,8
segment15_Az_mean,8
segment18_Ay_max,8
segment2_Ay_max,8
segment14_Gy_min,8
segment15_Ay_max,8
segment26_Az_max,8
segment4_Az_std,8
segment5_Az_max,8
segment15_Gz_mean,8
segment15_Ax_min,8
segment14_Gx_max,8
segment3_Gx_std,8
segment16_Az_median,8
segment4_Ax_mean,8
segment7_Ay_mean,7
segment14_Az_min,7
