,0
swing11_median_az,0.022610808
swing13_rms_az,0.021819092
swing13_median_az,0.020010127
swing14_median_az,0.01743359
swing9_median_az,0.015666617
swing5_mean_az,0.015565295
swing18_mean_az,0.014244964
swing9_max_gx,0.014050529
swing22_max_gx,0.012510426
swing18_rms_ax,0.012481885
swing15_mean_ax,0.0124028
swing21_rms_ax,0.012271471
swing27_max_ay,0.012078173
swing21_median_az,0.011678059
swing15_max_gx,0.011544459
swing17_mean_ay,0.011527131
swing26_mean_gy,0.010646574
swing11_rms_ax,0.010448297
swing7_mean_ax,0.009957499
swing22_mean_gy,0.009753812
swing10_std_gy,0.009523149
swing26_median_gz,0.008837689
swing25_max_gx,0.008424842
swing12_rms_az,0.008414889
swing18_max_gx,0.008263528
swing18_std_az,0.007751111
swing13_rms_ax,0.007289732
swing7_max_gx,0.007241562
swing21_std_az,0.007111942
swing24_mean_gz,0.006967407
swing15_std_gx,0.006905498
swing14_rms_ax,0.006817856
swing6_max_az,0.006361599
swing13_std_gy,0.0060081203
swing25_std_az,0.005905589
swing26_max_gx,0.005618297
swing9_rms_ax,0.0054111993
swing9_mean_az,0.0053325198
swing6_median_az,0.005279414
swing8_max_ay,0.005214324
swing26_mean_ax,0.0051748194
swing18_min_az,0.005140082
swing7_max_ax,0.0050618206
swing6_median_gy,0.0048039053
swing27_max_az,0.004770334
swing26_std_az,0.0047380794
swing19_median_gz,0.0046927975
swing9_std_gy,0.0046879216
swing17_median_gz,0.004631562
swing22_min_ay,0.0045864056
swing21_rms_gz,0.0045073484
swing9_rms_ay,0.0044585965
swing23_mean_gz,0.004279359
swing10_mean_gy,0.0042357724
swing21_median_gz,0.004227252
swing10_rms_az,0.0041745566
swing25_mean_gz,0.0041723354
swing10_median_gy,0.0041181496
swing16_rms_ax,0.0040390054
swing14_mean_ax,0.0039843195
swing26_median_az,0.0038635824
swing26_min_gy,0.0038441853
swing7_mean_az,0.0038290077
swing13_mean_ax,0.0037981158
swing5_mean_gz,0.0036691467
swing5_min_gy,0.0036467826
swing9_mean_gz,0.003611121
swing12_min_ax,0.0035922537
swing14_rms_gz,0.0034934732
swing27_min_gx,0.003491332
swing22_median_gy,0.0034096625
swing16_median_gz,0.0033745791
swing15_median_az,0.0033610899
swing7_min_az,0.0033228188
