feature,rank_analysis_xgb,rank_analysis_rf,rank_analysis_lgbm,rank_analysis_catboost,mean_rank
swing11_median_Az,3,4,5,3,3.75
swing9_median_Az,16,5,6,6,8.25
swing13_rms_Ax,21,6,7,9,10.75
swing14_median_Az,1,7,16,25,12.25
swing8_median_Az,23,3,13,11,12.5
swing26_median_Az,36,9,4,7,14.0
swing21_std_Az,10,12,24,20,16.5
swing24_median_Az,41,2,19,37,24.75
swing21_median_Az,57,24,20,4,26.25
swing9_mean_Gz,62,35,1,24,30.5
swing13_std_Az,7,66,32,35,35.0
swing6_max_Ax,30,89,8,22,37.25
swing8_max_Ay,13,99,29,13,38.5
swing19_rms_Ax,39,18,94,5,39.0
swing19_median_Az,86,11,44,15,39.0
swing24_rms_Ax,74,39,15,32,40.0
swing22_rms_Ax,111,16,10,33,42.5
swing13_median_Az,2,1,12,162,44.25
swing19_std_Az,20,52,49,59,45.0
swing27_median_Az,103,31,46,18,49.5
swing20_median_Az,60,15,123,2,50.0
swing18_std_Az,6,43,43,111,50.75
swing10_median_Az,34,13,145,14,51.5
swing15_median_Az,11,19,66,120,54.0
swing7_max_Ax,58,125,30,16,57.25
swing18_rms_Ax,104,27,56,49,59.0
swing16_rms_Ax,99,25,83,36,60.75
swing14_rms_Ax,25,47,124,52,62.0
swing26_rms_Ax,4,57,133,58,63.0
swing17_mean_Gz,101,62,45,61,67.25
swing8_mean_Ax,64,134,25,46,67.25
swing27_max_Ax,54,127,9,89,69.75
swing12_max_Ax,73,123,14,84,73.5
swing6_median_Az,8,8,41,244,75.25
swing9_std_Az,66,70,129,51,79.0
swing22_max_Ay,207,116,3,1,81.75
swing18_max_Ay,24,186,72,50,83.0
swing15_rms_Az,14,132,67,134,86.75
swing9_rms_Ax,84,55,105,103,86.75
swing10_std_Az,114,102,76,62,88.5
swing21_mean_Gz,158,63,70,63,88.5
swing22_median_Az,266,20,59,29,93.5
swing13_mean_Az,150,41,165,21,94.25
swing24_median_Gx,220,49,101,8,94.5
swing15_rms_Gx,123,160,53,42,94.5
swing23_median_Az,263,17,71,28,94.75
swing6_max_Ay,61,100,148,75,96.0
swing17_rms_Ax,152,48,21,165,96.5
swing27_max_Ay,77,213,47,56,98.25
swing13_max_Ay,136,130,36,100,100.5
swing18_median_Az,289,14,60,47,102.5
swing20_rms_Ax,52,26,122,222,105.5
swing7_rms_Ax,55,53,52,262,105.5
swing26_mean_Ax,138,69,131,98,109.0
swing5_std_Az,251,28,92,65,109.0
swing7_mean_Az,90,73,203,73,109.75
swing15_max_Ay,133,176,126,10,111.25
swing5_max_Ay,175,181,55,38,112.25
swing8_std_Az,118,136,74,126,113.5
swing19_mean_Ax,75,94,54,233,114.0
swing17_median_Az,17,29,184,229,114.75
swing16_std_Az,48,58,111,243,115.0
swing12_median_Az,294,10,91,66,115.25
swing6_rms_Ax,232,32,102,101,116.75
swing16_median_Az,197,36,39,201,118.25
swing23_rms_Az,219,84,89,81,118.25
swing18_max_Ax,192,145,103,34,118.5
swing15_rms_Ax,31,46,61,346,121.0
swing8_max_Ax,159,82,11,235,121.75
swing8_mean_Gz,223,64,77,123,121.75
swing15_std_Az,344,44,35,64,121.75
swing8_mean_Az,144,23,114,211,123.0
swing21_rms_Ax,164,60,99,170,123.25
swing18_mean_Az,353,34,82,27,124.0
swing9_mean_Az,117,33,134,216,125.0
swing22_mean_Gz,124,113,97,185,129.75
swing12_mean_Az,129,141,168,88,131.5
swing12_rms_Ax,231,40,169,96,134.0
swing25_rms_Az,200,51,57,237,136.25
swing15_mean_Az,226,56,130,147,139.75
swing6_mean_Gz,92,88,247,137,141.0
swing10_mean_Gz,346,152,23,44,141.25
swing25_std_Az,326,72,62,106,141.5
swing11_mean_Ax,161,115,84,212,143.0
swing16_mean_Gz,180,77,185,140,145.5
swing12_std_Az,285,142,42,125,148.5
swing27_mean_Ax,253,252,34,55,148.5
swing8_rms_Ax,265,59,40,234,149.5
swing23_std_Az,361,97,79,67,151.0
swing7_std_Az,42,109,116,344,152.75
swing16_mean_Ax,250,163,120,78,152.75
swing5_median_Az,81,21,98,413,153.25
swing21_max_Ay,43,277,112,182,153.5
swing26_max_Ax,300,121,28,169,154.5
swing20_max_Ax,122,174,197,127,155.0
swing13_mean_Ax,381,76,38,128,155.75
swing17_std_Az,225,129,175,99,157.0
swing25_median_Az,202,22,186,219,157.25
swing19_max_Ay,135,143,138,221,159.25
swing11_mean_Az,330,50,65,196,160.25
swing20_max_Ay,204,122,288,31,161.25
swing24_max_Ay,91,228,69,271,164.75
swing26_max_Ay,203,201,81,176,165.25
swing22_std_Az,191,92,37,345,166.25
swing11_max_Ax,269,135,88,186,169.5
swing18_mean_Ax,425,93,115,45,169.5
swing17_mean_Ax,288,106,167,121,170.5
swing19_rms_Az,264,103,208,110,171.25
swing21_rms_Az,379,38,100,173,172.5
swing10_median_Gx,154,114,278,145,172.75
swing17_max_Ay,358,238,75,23,173.5
swing5_mean_Az,241,30,399,26,174.0
swing15_max_Gx,19,179,194,311,175.75
swing20_mean_Ax,63,85,176,383,176.75
