feature,rank_xgb,rank_rf,rank_lgbm,rank_cat,mean_rank
swing12_median_Az,2.0,1.0,17.0,8.0,7.0
swing13_median_Az,3.0,3.0,11.0,11.0,7.0
swing10_median_Az,1.0,4.0,15.0,18.0,9.5
swing7_median_Az,29.0,2.0,9.0,1.0,10.25
swing12_rms_Ax,28.0,12.0,3.5,4.0,11.875
swing8_median_Az,30.0,8.0,7.0,10.0,13.75
swing9_median_Az,16.0,5.0,41.5,2.0,16.125
swing23_median_Az,37.0,7.0,20.0,23.0,21.75
swing17_std_Az,12.0,45.0,15.0,16.0,22.0
swing25_median_Az,45.0,19.0,3.5,46.0,28.375
swing21_rms_Ax,79.0,15.0,11.0,20.0,31.25
swing20_std_Az,24.0,36.0,20.0,49.0,32.25
swing18_median_Az,67.0,18.0,31.5,17.0,33.375
swing12_std_Az,5.0,29.0,20.0,95.0,37.25
swing5_max_Ax,25.0,58.0,6.0,87.0,44.0
swing8_mean_Gz,66.0,80.0,2.0,32.0,45.0
swing19_median_Az,59.0,24.0,75.0,26.0,46.0
swing5_median_Az,14.0,6.0,36.0,150.0,51.5
swing23_rms_Ax,97.0,21.0,28.0,66.0,53.0
swing16_mean_Gz,55.0,74.0,63.5,22.0,53.625
swing2_median_Az,102.0,39.0,48.0,27.0,54.0
swing18_std_Az,15.0,54.0,75.0,72.0,54.0
swing13_rms_Ax,35.0,31.0,100.0,55.0,55.25
swing17_rms_Ax,115.0,25.0,41.5,45.0,56.625
swing18_rms_Ax,42.0,37.0,100.0,59.0,59.5
swing26_max_Ax,51.0,67.0,15.0,122.0,63.75
swing15_rms_Ax,123.0,32.0,75.0,28.0,64.5
swing26_median_Az,47.0,23.0,87.5,114.0,67.875
swing14_std_Az,8.0,142.0,125.0,6.0,70.25
swing13_max_Ay,103.0,107.0,56.0,15.0,70.25
swing11_max_Ay,72.0,78.0,125.0,24.0,74.75
swing21_max_Ay,173.0,98.0,5.0,29.0,76.25
swing25_rms_Ax,18.0,43.0,186.5,61.0,77.125
swing7_max_Ax,134.0,81.0,11.0,90.0,79.0
swing15_median_Az,108.0,10.0,100.0,102.0,80.0
swing20_median_Az,52.0,13.0,41.5,218.0,81.125
swing3_max_Ax,167.0,97.0,56.0,13.0,83.25
swing21_median_Az,202.0,9.0,36.0,86.0,83.25
swing17_mean_Az,223.0,30.0,48.0,34.0,83.75
swing22_std_Az,84.0,59.0,139.5,54.0,84.125
swing9_max_Ax,36.0,102.0,186.5,12.0,84.125
swing18_mean_Ax,175.0,76.0,48.0,39.0,84.5
swing17_mean_Ax,33.0,103.0,139.5,83.0,89.625
swing8_rms_Ax,130.0,40.0,125.0,65.0,90.0
swing5_rms_Ax,177.0,35.0,87.5,69.0,92.125
swing8_std_Az,54.0,65.0,139.5,119.0,94.375
swing20_rms_Az,237.0,41.0,75.0,25.0,94.5
swing7_mean_Ax,110.0,88.0,23.5,171.0,98.125
swing16_rms_Ax,80.0,64.0,36.0,223.0,100.75
swing24_median_Az,99.0,17.0,186.5,104.0,101.625
swing15_max_Ay,60.0,179.0,160.5,9.0,102.125
swing11_max_Ax,147.0,85.0,28.0,149.0,102.25
swing11_std_Az,273.0,75.0,41.5,21.0,102.625
swing14_rms_Ax,83.0,72.0,75.0,184.0,103.5
swing21_std_Az,116.0,55.0,48.0,201.0,105.0
swing12_mean_Ax,228.0,119.0,23.5,52.0,105.625
swing6_mean_Az,31.0,34.0,307.5,51.0,105.875
swing3_median_Az,200.0,52.0,87.5,91.0,107.625
swing7_max_Ay,22.0,180.0,100.0,130.0,108.0
swing24_std_Az,275.0,68.0,56.0,50.0,112.25
swing22_median_Az,20.0,28.0,87.5,315.0,112.625
swing7_mean_Az,181.0,50.0,113.5,108.0,113.125
swing11_median_Az,271.0,11.0,56.0,132.0,117.5
swing19_mean_Ax,95.0,120.0,215.0,41.0,117.75
swing12_mean_Az,213.0,77.0,113.5,70.0,118.375
swing26_std_Az,195.0,185.0,31.5,82.0,123.375
swing7_rms_Ax,386.0,38.0,56.0,19.0,124.75
swing4_median_Az,225.0,16.0,139.5,140.0,130.125
swing3_max_Ay,174.0,172.0,139.5,36.0,130.375
swing22_rms_Az,142.0,112.0,48.0,233.0,133.75
swing23_max_Ay,62.0,117.0,125.0,240.0,136.0
swing14_rms_Az,81.0,315.0,139.5,14.0,137.375
swing4_mean_Ax,13.0,164.0,372.0,7.0,139.0
swing6_max_Ax,96.0,155.0,31.5,277.0,139.875
swing11_rms_Ax,155.0,56.0,307.5,44.0,140.625
swing23_rms_Az,113.0,116.0,160.5,173.0,140.625
swing20_mean_Gz,308.0,89.0,75.0,96.0,142.0
swing10_max_Ax,100.0,221.0,100.0,147.0,142.0
swing26_max_Ay,145.0,259.0,36.0,135.0,143.75
swing17_median_Az,284.0,14.0,56.0,222.0,144.0
swing9_mean_Gz,289.0,175.0,8.0,107.0,144.75
swing19_rms_Ax,212.0,61.0,100.0,217.0,147.5
swing6_std_Az,71.0,105.0,307.5,110.0,148.375
swing25_max_Ay,124.0,249.0,31.5,196.0,150.125
swing2_mean_Gz,282.0,46.0,113.5,162.0,150.875
swing9_std_Az,120.0,71.0,100.0,313.0,151.0
swing14_rms_Gx,74.0,301.0,75.0,158.0,152.0
swing16_median_Az,6.0,22.0,579.0,5.0,153.0
swing3_mean_Gz,434.0,79.0,13.0,98.0,156.0
swing6_mean_Gz,400.0,110.0,20.0,97.0,156.75
swing16_rms_Az,92.0,70.0,372.0,100.0,158.5
swing24_rms_Az,315.0,133.0,36.0,161.0,161.25
swing5_max_Ay,371.0,114.0,75.0,94.0,163.5
swing15_mean_Gz,186.0,93.0,215.0,166.0,165.0
swing14_median_Ay,129.0,268.0,186.5,77.0,165.125
swing3_std_Az,211.0,73.0,125.0,255.0,166.0
swing21_max_Gx,9.0,251.0,186.5,219.0,166.375
swing17_max_Ay,385.0,129.0,125.0,31.0,167.5
swing7_std_Az,203.0,141.0,186.5,141.0,167.875
swing4_max_Ay,187.0,373.0,63.5,48.0,167.875
swing22_max_Ay,347.0,189.0,75.0,68.0,169.75
swing6_rms_Ax,424.0,49.0,63.5,152.0,172.125
swing14_median_Az,331.0,42.0,41.5,275.0,172.375
swing25_rms_Az,150.0,177.0,125.0,238.0,172.5
swing14_mean_Az,199.0,53.0,307.5,131.0,172.625
swing14_std_Gx,106.0,198.0,139.5,257.0,175.125
swing14_mean_Ay,87.0,217.0,372.0,35.0,177.75
swing7_median_Gz,298.0,182.0,75.0,159.0,178.5
swing22_mean_Gz,206.0,248.0,63.5,216.0,183.375
swing26_mean_Ax,245.0,143.0,28.0,321.0,184.25
swing6_max_Ay,125.0,309.0,186.5,137.0,189.375
swing23_std_Az,274.0,121.0,307.5,57.0,189.875
swing6_std_Ax,70.0,355.0,307.5,33.0,191.375
swing9_rms_Ax,427.0,20.0,41.5,282.0,192.625
swing23_max_Ax,246.0,261.0,160.5,105.0,193.125
swing7_mean_Gz,165.0,153.0,100.0,355.0,193.25
swing5_median_Gz,139.0,203.0,125.0,308.0,193.75
swing14_median_Gz,131.0,271.0,125.0,248.0,193.75
swing24_max_Ay,204.0,317.0,75.0,181.0,194.25
swing9_rms_Az,159.0,187.0,139.5,292.0,194.375
swing21_mean_Gz,337.0,333.0,75.0,38.0,195.75
swing20_max_Ay,234.0,260.0,100.0,190.0,196.0
swing18_max_Ax,344.0,224.0,139.5,80.0,196.875
swing10_max_Ay,310.0,225.0,100.0,155.0,197.5
swing4_mean_Gy,91.0,295.0,139.5,272.0,199.375
swing19_max_Ax,41.0,183.0,463.5,112.0,199.875
swing8_rms_Az,415.0,163.0,186.5,37.0,200.375
swing26_mean_Gy,94.0,337.0,307.5,63.0,200.375
swing23_median_Gx,330.0,244.0,25.5,205.0,201.125
swing8_max_Ay,133.0,227.0,256.0,192.0,202.0
swing12_max_Ay,270.0,206.0,125.0,209.0,202.5
swing21_rms_Az,109.0,312.0,215.0,176.0,203.0
swing18_max_Ay,412.0,118.0,87.5,200.0,204.375
swing18_rms_Az,335.0,202.0,256.0,30.0,205.75
swing13_mean_Ay,50.0,233.0,87.5,457.0,206.875
swing5_median_Gy,182.0,397.0,215.0,40.0,208.5
swing20_median_Gz,288.0,106.0,113.5,328.0,208.875
swing2_mean_Az,428.0,44.0,56.0,314.0,210.5
swing4_std_Az,438.0,48.0,87.5,271.0,211.125
